dataset,descriptor,method,seed,mask_frac,n_observed,n_masked,mae,rmse,r2,pearson_r,seconds
logp,naAromAtom,miss_transformer,42,0.5,4929,2464,0.1439173798282425,0.2808396569324582,0.9900073032754249,0.9960418490228984,1494.4635643959043
logp,nAromBond,miss_transformer,42,0.5,4929,2464,0.176108897675748,0.353329287612918,0.984946519024509,0.9942207005391942,1455.3009593486786
logp,nH,miss_transformer,42,0.5,4929,2464,0.6202553123622746,0.8244013897347063,0.9910300930003694,0.9973492096590142,1343.615268945694
logp,nC,miss_transformer,42,0.5,4929,2464,0.495350150705932,0.6677048504144509,0.9887504498229608,0.9964390644775782,1283.3351893424988
logp,nX,miss_transformer,42,0.5,4929,2464,0.6166437074735567,0.8730650145253345,0.9908030889534408,0.9983260867231089,1287.2526700496674
logp,MLFER_A,miss_transformer,42,0.5,4929,2464,0.0699509437465828,0.1148981738489381,0.8878402699844316,0.9446617084198372,1278.8278625011444
logp,MLFER_BH,miss_transformer,42,0.5,4929,2464,0.0989868991572467,0.1441852555724991,0.9433633820858768,0.9741981706258928,1377.089130401611
logp,WTPT-3,miss_transformer,42,0.5,4929,2464,1.6878103385497998,2.2276681921592587,0.991310455226218,0.9975128345145132,1304.803406238556
logp,Kier1,miss_transformer,42,0.5,4929,2464,1.0036055035405345,1.2048002662295276,0.9935634088506866,0.9988965594484528,1298.64937210083
logp,Kier3,miss_transformer,42,0.5,4929,2464,0.2267373529105604,0.3428356340330967,0.9841915333700472,0.9927554657429845,1265.4869391918182
logp,ATS7e,miss_transformer,42,0.5,4929,2464,48.88679486900181,74.83535386641766,0.9859940048355872,0.993769570372356,1383.7825758457184
logp,AATS7e,miss_transformer,42,0.5,4929,2464,0.2791336970282839,0.475455400467495,0.9755868351746722,0.988280296592604,1478.3513686656952
logp,ATSC7e,miss_transformer,42,0.5,4929,2464,1.330960471581199,2.0304270929374577,0.9010404355432928,0.9601291270939932,1250.1527998447418
logp,AATSC7e,miss_transformer,42,0.5,4929,2464,0.0180180680484276,0.0275435217068481,0.9498673769139164,0.9787549926732516,1250.2409255504608
logp,MATS7e,miss_transformer,42,0.5,4929,2464,0.0478192233048192,0.0714355210479717,0.9546668552534252,0.9782175005902756,1218.716367483139
logp,GATS7e,miss_transformer,42,0.5,4929,2464,0.0629152178540583,0.1034397099500501,0.9568571063617752,0.9814668572931782,1221.3182561397552
logp,ETA_Beta,miss_transformer,42,0.5,4929,2464,0.4968105608766729,0.7313328172997884,0.9951539825638396,0.9987347807097474,1328.058788061142
logp,ETA_Shape_X,miss_transformer,42,0.5,4929,2464,0.0085949439573549,0.0137214563111448,0.9743997898959542,0.9871933194935189,1203.223424434662
logp,MDEC-34,miss_transformer,42,0.5,4929,2464,0.3619161477832535,0.5735420387438563,0.9080006684117242,0.9532684108995076,1211.3801310062408
logp,MPC7,miss_transformer,42,0.5,4929,2464,4.647505497777617,7.368661190937913,0.9734887744427696,0.9877888089689872,1207.2920129299164
logp,piPC7,miss_transformer,42,0.5,4929,2464,0.1236094961595999,0.1877894204806779,0.9843356922961272,0.9927340900342853,1256.2779564857483
logp,SRW8,miss_transformer,42,0.5,4929,2464,0.0324986166768259,0.0527118672772273,0.9908925487043242,0.9961201077375228,1134.2186970710754
logp,SpMax_Dze,miss_transformer,42,0.5,4929,2464,11.384994742158172,17.249802381928564,0.9925705150283356,0.996739083700264,1072.950175523758
logp,SpDiam_Dzp,miss_transformer,42,0.5,4929,2464,33.775916471883846,50.28557707044766,0.9861501081905784,0.9933403838828008,1071.182691574097
logp,VR1_Dze,miss_transformer,42,0.5,4929,2464,128635.91714366613,904985.0458298072,0.7098278220948546,0.8430604437227228,1072.3492641448977
logp,naAromAtom,mean,42,0.5,4929,2464,1.835995366046955,2.809460462849295,-2.6914446517256607e-05,,0.0009951591491699
logp,naAromAtom,median,42,0.5,4929,2464,1.072646103896104,3.0072288447464923,-0.1457735594945253,,0.0019943714141845
logp,naAromAtom,knn,42,0.5,4929,2464,0.0518712256248895,0.4326768348576537,0.9762811773741158,0.9884193322177536,2.706437826156616
logp,naAromAtom,mice,42,0.5,4929,2464,0.0285438757353857,0.0536020319403488,0.9996359774013704,0.9998198257184592,65.16532301902771
logp,naAromAtom,missforest,42,0.5,4929,2464,0.0120589857340441,0.1139591155269044,0.9983546284677784,0.9991771434382316,480.7722270488739
logp,nAromBond,mean,42,0.5,4929,2464,1.868620935875874,2.8798355752017333,-3.0042644254102413e-05,,0.0009975433349609
logp,nAromBond,median,42,0.5,4929,2464,1.0913149350649352,3.079638303100233,-0.14360774407481,,0.0019948482513427
logp,nAromBond,knn,42,0.5,4929,2464,0.0578370004311784,0.4959080590591563,0.9703462245406635,0.9856011508507304,2.573354959487915
logp,nAromBond,mice,42,0.5,4929,2464,0.0294639835500373,0.0546627915251665,0.9996397024777356,0.999821027222704,55.434688568115234
logp,nAromBond,missforest,42,0.5,4929,2464,0.0130073057408994,0.1291076772383051,0.9979900659934208,0.9990097824547836,482.6183876991272
logp,nH,mean,42,0.5,4929,2464,6.662006526798397,8.7056575527993,-0.0002617672575992,,0.0009973049163818
logp,nH,median,42,0.5,4929,2464,6.3291396103896105,8.898485023546744,-0.0450634464499228,,0.0019946098327636
logp,nH,knn,42,0.5,4929,2464,0.5432956184278691,1.144194666948191,0.982721328488363,0.9920185335687624,2.82897686958313
logp,nH,mice,42,0.5,4929,2464,0.0282515470920322,0.055963224852101,0.9999586651872177,0.9999793958407226,59.67416214942932
logp,nH,missforest,42,0.5,4929,2464,0.2535653416186055,0.7377197150587784,0.9928172080124152,0.9966798526591804,712.9029097557068
logp,nC,mean,42,0.5,4929,2464,4.784813781063278,6.296718767063736,-0.0004483868532363,,0.0009982585906982
logp,nC,median,42,0.5,4929,2464,4.681818181818182,6.308428190426379,-0.004172728528168,,0.0009970664978027
logp,nC,knn,42,0.5,4929,2464,0.5280279679248086,0.8546879214979632,0.9815676279445394,0.9912091813199996,3.1517016887664795
